"year"	"occ"	"inc1"	"inc2"	"inc3"	"inc4"	"inc5"	"inc6"	"inc7"	"inc8"	"inc9"	"inc10"	"inc11"	"inc12"	"inc13"	"inc14"	"inc15"	"inc16"	"inc17"	"inc18"	"inc19"	"inc20"	"inc21"	"inc22"	"inc23"	"inc24"	"inc25"	"inc26"	"inc27"	"inc28"	"inc29"	"inc30"	"inc31"	"inc32"	"inc33"	"inc34"	"inc35"	"inc36"	"inc37"	"inc38"	"inc39"	"inc40"	"inc41"	"inc42"	"inc43"	"inc44"	"inc45"	"inc46"	"inc47"	"inc48"	"inc49"	"inc50"	"inc51"	"inc52"	"inc53"	"inc54"	"inc55"	"inc56"	"inc57"	"inc58"	"inc59"	"inc60"	"inc61"	"inc62"	"inc63"	"inc64"	"inc65"	"inc66"	"inc67"	"inc68"	"inc69"	"inc70"	"inc71"	"inc72"	"inc73"	"inc74"	"inc75"	"inc76"	"inc77"	"inc78"	"inc79"	"inc80"	"inc81"	"inc82"	"inc83"	"inc84"	"inc85"	"inc86"	"inc87"	"inc88"	"inc89"	"inc90"	"inc91"	"inc92"	"inc93"	"inc94"	"inc95"	"inc96"	"inc97"	"inc98"	"inc99"	"inc100"	"inc101"	"inc102"	"inc103"	"inc104"	"inc105"	"inc106"	"inc107"	"inc108"	"inc109"	"inc110"	"inc111"	"inc112"	"inc113"	"inc114"	"inc115"	"inc116"	"inc117"	"inc118"	"inc119"	"inc120"	"inc121"	"inc122"	"inc123"	"inc124"	"inc125"	"inc126"	"inc127"	"inc128"	"inc129"	"inc130"	"inc131"	"inc132"	"inc133"	"inc134"	"inc135"	"inc136"	"inc137"	"inc138"	"inc139"	"inc140"	"inc141"	"inc142"	"inc143"	"inc144"	"inc145"	"inc146"	"inc147"	"inc148"	"inc149"	"inc150"	"inc151"	"inc152"	"inc153"	"inc154"	"inc155"	"inc156"	"inc157"	"inc158"	"inc159"	"inc160"	"inc161"	"inc162"	"inc163"	"inc164"	"inc165"	"inc166"	"inc167"	"inc168"	"inc169"	"inc170"	"inc171"	"inc172"	"inc173"	"inc174"	"inc175"	"inc176"	"inc177"	"inc178"	"inc179"	"inc180"	"inc181"	"inc182"	"inc183"	"inc184"	"inc185"	"inc186"	"inc187"	"inc188"	"inc189"	"inc190"	"inc191"	"inc192"	"inc193"	"inc194"	"inc195"	"inc196"	"inc197"	"inc198"	"inc199"	"inc200"	"inc201"	"inc202"	"inc203"	"inc204"	"inc205"	"inc206"	"inc207"	"inc208"	"inc209"	"inc210"	"inc211"	"inc212"	"inc213"	"inc214"	"inc215"	"inc216"	"inc217"	"inc218"	"inc219"	"inc220"	"inc221"	"inc222"	"inc223"	"inc224"	"inc225"	"inc226"	"inc227"	"inc228"	"inc229"	"inc230"	"inc231"	"inc232"	"inc233"	"inc234"	"inc235"	"inc236"	"inc237"	"inc238"	"inc239"	"inc240"	"inc241"	"inc242"	"inc243"	"inc244"	"inc245"	"inc246"	"inc247"	"inc248"	"inc249"	"inc250"	"inc251"	"inc252"	"inc253"	"inc254"	"inc255"	"inc256"	"inc257"	"inc258"	"inc259"	"inc260"	"inc261"	"inc262"	"inc263"	"inc264"	"inc265"	"inc266"	"inc267"	"inc268"
1960	1	15	45	35	20	20	10	15	9.09	20	15	12	20	10	10	20	20	17	20	10	35	50	30	30	20	20	10	50	20	17	10	5	15	30	5	10	17	10	15	10	10	10	10	20	10	30	20	15	15	15	25	15	15	10	14	15	15	20	20	15	20	50	10	35	16.67	12.77	6.67	18.18	14.29	8.33	16	11.36	18.18	18	15.09	8.51	12	14.55	14	9.76	15.38	15.09	14	14.29	9.52	12.24	13.04	15.09	15.22	19.15	15.38	15.38	16.07	20	16	15.38	17.65	14	15.38	17.5	13.21	15.38	15.38	16	19.61	15.38	14.58	17.31	11.54	13.04	20	16.36	14.29	15.52	20	15	15	10	15	10	10	90	20	0	25	25	16.67	15	22	7	15	19	15	10	20	15	15	25	20	30	20	16	10	25	20	10	15	25	10	10	15	20	50	20	5	10	16	10	2	10	40	10	15	15	22	15	15	15	20	40	5	15	10	30	15	25	12	15	20	15	20	50	15	15	20	9	20	15	20	20	25	25	20	25	15	20	22	20	10	35	15	8	18	20	15	15	20	15	5	10	20	10	15	15	20	30	25	28	15	14	20	10	10	25	25	50	30	10	20	15	20	10	15	10	15	15	10	20	16	20	15	16	20	10	18	19	10	30	10	25	20	20	20	20	20	58	15	20	40	25	10	10	10	15	10	10	50	10	20
1960	2	20	5	10	20	5	25	15	18.18	10	15	18	20	20	20	20	20	10	22	20	10	0	20	5	23	25	10	10	20	18	20	20	15	10	15	25	17	10	20	25	20	20	10	20	32	30	25	20	15	15	15	21	3	20	20	15	15	20	10	15	10	15	10	15	16.67	19.15	20	22.73	14.29	20.83	16	18.18	18.18	18	16.98	19.15	20	16.36	20	19.51	17.31	18.87	18	16.33	23.81	20.41	21.74	16.98	17.39	21.28	17.31	19.23	17.86	22.5	16	19.23	17.65	18	19.23	17.5	18.87	17.31	19.23	20	15.69	17.31	16.67	13.46	13.46	21.74	15.56	16.36	18.37	17.24	20	15	20	20	20	25	30	2	20	25	30	7	16.67	25	14	35	18	20	20	40	20	15	5	20	30	20	10	16	15	20	20	18	20	25	30	40	20	20	5	25	20	47	20	20	60	20	10	20	15	10	12	22	25	15	20	15	25	15	20	5	25	20	25	15	20	10	10	20	25	20	10	17	30	15	20	10	25	20	20	20	10	15	17	30	20	0	20	20	19	20	18	20	20	25	30	10	10	25	15	30	20	15	5	8	15	15	10	20	25	20	0	5	10	20	20	25	10	20	15	25	20	20	15	20	19	20	15	18	30	20	18	19	15	10	20	25	10	20	20	20	20	5	20	25	5	15	30	20	25	20	15	10	20	25	20
1960	3	20	25	35	20	25	20	25	27.27	20	15	20	20	40	20	15	20	18	18	20	20	50	30	30	23	20	30	20	20	18	20	25	20	20	45	25	17	30	20	20	15	20	20	20	20	30	15	20	20	20	20	18	50	20	18	20	25	20	30	25	20	10	35	5	16.67	17.02	20	18.18	21.43	20.83	16	22.73	18.18	20	16.98	19.15	20	18.18	20	19.51	17.31	18.87	16	16.33	16.67	16.33	19.57	16.98	17.39	17.02	17.31	19.23	17.86	17.5	20	19.23	17.65	20	17.31	20	18.87	17.31	19.23	18	17.65	19.23	20.83	17.31	19.23	17.39	20	18.18	18.37	17.24	20	20	15	20	20	20	30	2	25	25	10	25	16.67	20	30	20	19	19	20	20	20	25	45	20	10	20	30	19	40	25	35	20	35	15	20	10	25	20	20	25	25	16	19	20	15	20	15	20	15	20	30	22	15	10	20	25	20	15	27	10	15	10	25	30	20	25	20	10	20	20	25	23	10	20	20	20	25	10	20	20	30	25	15	20	20	35	15	25	16	20	18	30	20	20	20	40	30	15	25	30	20	15	20	17	18	16	50	20	20	15	25	25	10	20	20	15	20	25	25	25	20	10	30	20	16	10	20	18	20	20	18	19	35	20	30	25	10	20	20	20	20	8	20	25	30	25	20	15	20	25	30	30	10	25	10
1960	4	15	20	10	20	25	25	20	18.18	30	40	16	10	10	15	15	15	20	15	20	20	0	10	15	22	15	25	10	15	15	20	15	15	20	25	10	17	20	20	10	20	10	20	20	12	5	15	20	15	15	20	18	20	20	24	25	25	20	20	25	20	10	35	30	16.67	17.02	17.78	13.64	21.43	14.58	18	18.18	18.18	18	18.87	19.15	20	18.18	14	14.63	17.31	16.98	18	18.37	16.67	14.29	17.39	16.98	17.39	17.02	19.23	17.31	17.86	22.5	16	19.23	15.69	18	19.23	12.5	16.98	17.31	19.23	20	15.69	19.23	18.75	19.23	19.23	17.39	15.56	18.18	16.33	17.24	10	20	20	20	15	20	10	2	20	25	10	25	16.67	20	10	20	19	14	20	20	10	20	10	25	15	10	15	17	15	25	5	16	15	15	10	20	15	20	10	10	25	12	16	15	8	20	20	10	20	20	25	16	20	25	20	5	10	20	23	20	15	20	8	15	10	25	20	5	20	20	25	15	10	15	15	35	10	20	20	20	10	15	15	20	10	10	30	25	15	10	18	20	10	15	10	10	20	20	15	10	20	30	25	22	18	17	5	20	16	10	25	20	30	15	20	15	20	25	10	20	15	30	10	15	17	20	20	20	20	20	18	19	15	10	10	12	30	20	20	15	15	10	20	30	15	15	15	20	20	20	20	20	5	10	15
1960	5	15	0	10	10	10	5	15	18.18	10	10	16	10	10	20	15	15	25	15	20	10	0	0	15	7	15	10	10	15	17	15	15	15	10	0	10	17	10	15	20	20	20	20	10	11	0	15	5	15	20	20	10	2	20	18	10	15	10	15	20	20	10	8	15	16.67	14.89	20	13.64	19.05	16.67	18	11.36	13.64	16	18.87	19.15	14	16.36	18	19.51	17.31	16.98	18	18.37	16.67	20.41	15.22	18.87	15.22	12.77	13.46	17.31	17.86	10	18	13.46	15.69	16	9.62	20	16.98	17.31	15.38	18	17.65	11.54	16.67	19.23	19.23	15.22	11.11	16.36	18.37	17.24	10	20	15	20	15	5	10	2	5	25	5	8	16.67	10	14	5	17	13	15	0	20	5	15	0	10	15	15	14	10	5	10	16	5	10	15	10	15	10	5	15	15	3	18	20	5	10	10	10	20	20	10	15	10	10	20	15	15	20	15	30	15	20	15	15	10	10	20	10	0	20	10	14	10	15	15	5	10	15	20	10	15	15	15	0	10	10	10	12	15	10	15	5	10	10	5	15	10	15	15	10	10	0	15	17	14	18	10	10	20	15	0	0	10	20	20	15	10	10	15	10	15	5	15	15	15	10	15	12	10	20	18	5	10	10	10	3	15	5	5	5	10	7	5	5	5	10	15	15	5	10	15	10	10	10	5
1960	6	15	5	0	10	15	15	10	9.09	10	5	18	20	10	15	15	10	10	10	10	5	0	10	5	5	5	15	0	10	15	15	20	20	10	10	20	15	20	10	15	15	20	20	10	15	5	10	20	20	15	0	18	10	10	6	15	5	10	5	0	10	5	2	0	16.67	19.15	15.56	13.64	9.52	18.75	16	18.18	13.64	10	13.21	14.89	14	16.36	14	17.07	15.38	13.21	16	16.33	16.67	16.33	13.04	15.09	17.39	12.77	17.31	11.54	12.5	7.5	14	13.46	15.69	14	19.23	12.5	15.09	15.38	11.54	8	13.73	17.31	12.5	13.46	17.31	15.22	17.78	14.55	14.29	15.52	20	10	15	10	15	20	10	2	10	0	20	10	16.67	10	10	13	12	15	10	10	10	20	10	10	15	5	10	18	10	0	10	20	10	10	15	10	10	10	10	5	10	12	11	15	10	20	5	30	15	15	1	10	15	25	0	0	25	15	5	5	15	5	15	10	20	15	10	5	20	5	10	22	20	20	10	10	5	10	0	5	20	10	16	10	30	10	10	10	17	20	16	10	20	15	30	15	10	15	15	5	10	10	10	8	20	20	5	20	9	15	25	0	10	15	0	15	20	10	20	10	15	20	20	10	17	20	15	16	0	10	10	19	15	20	20	10	15	15	15	20	15	12	10	5	5	10	10	20	20	10	10	15	5	20	30
2014	1	35	60	19	30	30	50	35	33.33	50	100	25	30	20	25	25	25	20	20	30	20	35	25	15	40	40	20	20	20	21	50	25	60	21	30	30	20	20	18	10	50	40	30	20	40	30	40	20	30	10	19	10	15	20	20	40	50	40	20	25	25	40	25	17.39	20	18.75	18.6	20.83	19.05	15.91	16	16.67	15.22	12	20.51	16.67	27.78	18.6	11.11	17.78	16.28	19.57	17.78	18.37	16.67	16.98	19.44	16.98	15.56	16.98	15.56	20.45	19.57	20.93	17.02	14.89	7.5	21.28	20.51	16.28	16.67	15.56	9.52	17.39	17.24	14.71	25.64	20	13.51	21.43	23.81	18.6	17.78	14	20	20	18	35	20	25	22	20	19	30	30	25	24	60	25	27	25	20	25	50	25	20	10	35	20	20	30	20	20	23	17	20	24	50	25	19	20	6.67	25	50	40	20	20	30	60	50	40	20	20	17	10	30	20.51	25	25	31.58	14	30	20	17	50	40	30	75	50	30	30	25	25	20	45	25	70	35	25	20	25	30	20	30	20	20	20	35	75	10	95	10	30	30	17	16	25	20	60	55	35	35	40	30	50	40	30	15	25	55	50	20	35	30	20	40	30	15	15	20	25	20	40	16	20	20	25	15	20	30	30	30	30	25	20	40	30	30	20	15	20	18	15	25	25	30	23	30	20	50	30	20	40	25	20	15	20	35	25
2014	2	20	0	18	5	10	0	15	11.11	0	0	20	20	25	35	15	15	35	20	15	20	10	10	20	15	20	25	25	15	17	10	10	15	20	10	0	20	20	18	20	7	20	30	25	8	10	5	15	15	20	24	20	10	20	20	15	10	10	15	40	25	15	10	17.39	20	16.67	16.28	20.83	19.05	20.45	18	18.75	15.22	20	23.08	12.5	19.44	13.95	17.78	20	20.93	10.87	17.78	18.37	16.67	15.09	19.44	16.98	11.11	16.98	20	20.45	19.57	16.28	21.28	19.15	17.5	17.02	5.13	16.28	16.67	17.78	19.05	17.39	17.24	14.71	17.95	16	18.92	16.67	23.81	20.93	17.78	20	20	20	10	20	30	15	22	20	19	25	10	10	16	20	15	15	20	20	15	10	20	20	15	40	20	30	10	20	18	18	19	20	15	20	5	13	10	19.05	20	0	30	25	16	15	10	5	10	10	15	17	20	20	14.53	20	25	10.53	18	15	10	18	10	0	15	5	10	20	10	20	15	21	10	10	5	0	20	25	14	25	20	15	10	15	20	15	5	10	1	20	25	20	16	25	7	20	10	10	5	10	10	25	10	12	20	30	15	2	5	40	30	30	10	20	30	15	15	20	20	10	20	16	15	20	26	20	10	15	10	0	10	25	20	20	30	0	14	15	20	10	30	20	25	30	14	20	5	0	10	15	30	15	16	25	20	10	20
2014	3	20	0	19	15	20	30	25	11.11	25	0	25	10	20	30	25	25	20	25	25	20	20	35	15	20	20	25	15	20	22	30	20	0	19	20	30	20	20	18	20	20	15	20	25	10	30	20	25	20	35	21	35	30	15	20	10	20	10	20	15	25	10	20	15.22	20	18.75	18.6	16.67	19.05	20.45	18	18.75	19.57	20	20.51	20.83	19.44	18.6	17.78	17.78	18.6	19.57	22.22	20.41	16.67	16.98	22.22	18.87	22.22	16.98	20	20.45	15.22	23.26	17.02	21.28	20	21.28	23.08	18.6	16.67	17.78	23.81	19.57	17.24	14.71	15.38	18	21.62	21.43	23.81	23.26	17.78	18	20	20	30	10	10	20	15	20	19	18	20	25	28	0	20	28	30	20	20	10	25	25	25	5	15	10	30	15	20	21	18	20	20	10	30	18	30	42.86	15	20	10	20	16	15	10	15	15	20	30	17	25	30	24.79	20	25	15.79	17	20	25	28	10	10	15	5	10	15	15	10	20	21	10	20	20	25	15	20	25	20	20	15	20	20	20	15	5	30	1	40	20	30	17	20	35	20	10	15	30	25	0	10	10	18	25	25	25	1	5	5	25	30	20	20	10	15	15	20	15	22	20	20	20	20	15	20	20	20	25	30	10	25	20	20	40	30	18	20	20	18	20	20	25	30	19	20	25	10	20	20	0	20	16	20	20	20	20
2014	4	20	40	18	40	10	10	10	11.11	10	0	20	30	15	10	25	15	10	25	25	20	15	15	30	10	20	10	15	20	20	10	20	15	20	30	30	20	10	19	22	23	20	10	15	12	20	10	15	20	10	23	20	10	15	20	20	5	10	15	10	15	20	20	17.39	20	20.83	18.6	16.67	19.05	20.45	18	18.75	17.39	20	17.95	18.75	27.78	16.28	17.78	15.56	18.6	19.57	20	20.41	16.67	16.98	16.67	16.98	15.56	16.98	20	18.18	17.39	16.28	21.28	19.15	22.5	12.77	12.82	16.28	16.67	17.78	19.05	19.57	17.24	14.71	20.51	16	13.51	16.67	23.81	23.26	17.78	16	25	10	10	20	15	20	15	20	19	18	20	5	14	20	25	10	15	15	20	10	20	25	15	5	25	20	10	15	17	18	17	20	20	10	15	18	20	9.52	25	20	8	10	16	20	10	20	10	20	10	17	20	5	17.09	20	15	21.05	16	25	20	27	10	50	20	10	10	15	20	20	20	22	30	20	3	20	25	15	25	15	20	15	20	20	20	25	5	30	1	10	10	10	17	12	20	20	10	15	20	20	45	20	30	12	15	20	25	40	5	20	5	5	15	10	10	15	20	20	20	20	20	16	15	15	10	20	20	10	20	30	30	25	15	20	0	15	16	15	20	18	20	20	13	5	16	20	25	30	15	20	20	20	17	10	20	25	20
2014	5	0	0	14	5	10	0	5	11.11	0	0	10	0	10	0	15	0	10	5	5	5	10	0	5	5	0	10	53	5	8	0	15	0	10	0	10	10	10	13	6	0	0	10	5	10	10	10	20	0	5	5	0	5	5	10	5	5	10	12	5	5	10	10	13.04	6.67	12.5	11.63	6.25	9.52	11.36	14	18.75	13.04	16	2.56	12.5	2.78	16.28	17.78	15.56	13.95	19.57	15.56	16.33	16.67	18.87	11.11	13.21	20	16.98	13.33	18.18	15.22	11.63	14.89	14.89	12.5	6.38	17.95	16.28	14.81	17.78	4.76	10.87	13.79	20.59	10.26	16	13.51	11.9	2.38	2.33	13.33	14	5	10	10	10	0	15	5	10	19	4	10	10	8	0	10	10	5	5	10	10	10	5	15	7	10	0	5	12	10	10	11	10	8	5	5	10	10	14.29	10	0	2	5	16	10	5	10	10	15	15	16	20	5	5.98	5	10	10.53	15	5	10	5	10	0	5	0	5	8	15	15	10	6	0	10	1	0	10	5	3	5	20	15	10	10	10	10	5	5	1	10	10	5	17	12	8	20	10	5	5	5	0	0	0	6	10	0	5	1	5	5	0	0	15	10	0	15	15	20	5	15	0	16	15	10	9	5	20	10	8	10	10	0	15	0	0	15	16	15	20	18	10	5	12	2	10	10	5	0	15	15	0	10	16	10	10	5	0
2014	6	5	0	12	5	20	10	10	22.22	15	0	0	10	10	0	15	20	5	5	0	15	10	15	15	10	0	10	20	10	13	0	10	10	10	10	0	10	20	14	22	0	5	0	10	20	0	15	5	5	20	8	15	30	25	10	10	10	20	18	5	5	5	15	19.57	13.33	12.5	16.28	18.75	14.29	11.36	16	8.33	19.57	12	15.38	18.75	2.78	16.28	17.78	13.33	11.63	10.87	6.67	6.12	16.67	15.09	11.11	16.98	15.56	15.09	11.11	2.27	13.04	11.63	8.51	10.64	20	21.28	20.51	16.28	18.52	13.33	23.81	15.22	17.24	20.59	10.26	14	18.92	11.9	2.38	11.63	15.56	18	10	20	22	5	25	5	21	10	5	5	10	25	10	0	5	10	5	20	10	10	0	5	20	8	10	20	15	18	15	10	18	10	13	5	20	22	10	7.62	5	10	10	20	16	10	5	0	15	15	10	16	5	10	17.09	10	0	10.53	20	5	15	5	10	0	15	5	15	12	10	10	10	10	5	15	1	20	5	15	8	5	0	10	20	15	10	0	5	15	1	10	5	5	16	15	5	20	0	0	5	5	5	15	0	12	0	10	5	1	30	10	5	5	20	0	20	25	20	0	15	13	0	16	15	15	15	20	0	15	7	0	10	0	10	0	0	10	16	20	0	18	5	10	0	3	18	0	20	10	10	10	10	10	15	20	10	5	15
