pid,grp,duration
551,Pre-like status,179
551,Sent like,-99
552,Pre-like status,179
552,Sent like,-99
553,Pre-liked me status,179
553,Liked me,-99
554,Pre-liked me status,179
554,Liked me,-99
555,Pre-liked me status,179
555,Liked me,-99
556,Pre-like status,179
556,Sent like,-99
557,Pre-like status,180
557,Sent like,-99
558,Pre-like status,180
558,Sent like,-99
559,Pre-like status,180
559,Sent like,-99
560,Pre-like status,180
560,Sent like,-99
561,Pre-liked me status,180
561,Liked me,-99
562,Pre-liked me status,180
562,Liked me,-99
563,Pre-liked me status,180
563,Liked me,-99
564,Pre-liked me status,180
564,Liked me,1
564,Match,1
564,Conversation in app,-99
565,Pre-liked me status,180
565,Liked me,-99
566,Pre-liked me status,180
566,Liked me,-99
567,Pre-like status,181
567,Sent like,-99
568,Pre-like status,181
568,Sent like,-99
569,Pre-liked me status,181
569,Liked me,-99
570,Pre-liked me status,181
570,Liked me,-99
571,Pre-like status,181
571,Sent like,-99
572,Pre-like status,181
572,Sent like,-99
573,Pre-like status,181
573,Sent like,-99
574,Pre-like status,181
574,Sent like,6
574,Match,0
574,Conversation in app,-99
575,Pre-liked me status,181
575,Liked me,-99
576,Pre-like status,181
576,Sent like,-99
577,Pre-like status,181
577,Sent like,-99
578,Pre-like status,181
578,Sent like,-99
579,Pre-like status,182
579,Sent like,-99
580,Pre-liked me status,182
580,Liked me,-99
581,Pre-liked me status,182
581,Liked me,-99
582,Pre-liked me status,182
582,Liked me,-99
583,Pre-liked me status,182
583,Liked me,-99
584,Pre-liked me status,182
584,Liked me,-99
585,Pre-liked me status,182
585,Liked me,-99
586,Pre-like status,182
586,Sent like,-99
587,Pre-like status,182
587,Sent like,-99
588,Pre-like status,182
588,Sent like,1
588,Match,1
588,Conversation in app,-99
589,Pre-like status,182
589,Sent like,-99
590,Pre-like status,182
590,Sent like,-99
591,Pre-like status,182
591,Sent like,-99
592,Pre-like status,182
592,Sent like,-99
593,Pre-like status,183
593,Sent like,-99
594,Pre-like status,183
594,Sent like,-99
595,Pre-like status,183
595,Sent like,-99
596,Pre-like status,184
596,Sent like,-99
597,Pre-like status,184
597,Sent like,-99
598,Pre-like status,184
598,Sent like,2
598,Match,1
598,Conversation in app,8
598,First date,-99
599,Pre-like status,184
599,Sent like,-99
600,Pre-like status,185
600,Sent like,-99
601,Pre-liked me status,185
601,Liked me,-99
602,Pre-liked me status,185
602,Liked me,-99
603,Pre-liked me status,185
603,Liked me,-99
604,Pre-like status,186
604,Sent like,-99
605,Pre-like status,186
605,Sent like,-99
606,Pre-like status,187
606,Sent like,-99
607,Pre-like status,187
607,Sent like,-99
608,Pre-like status,187
608,Sent like,1
608,Match,-99
609,Pre-liked me status,190
609,Liked me,-99
610,Pre-liked me status,190
610,Liked me,-99
611,Pre-liked me status,191
611,Liked me,-99
612,Pre-like status,191
612,Sent like,-99
613,Pre-like status,191
613,Sent like,-99
614,Pre-like status,191
614,Sent like,-99
615,Pre-like status,192
615,Sent like,-99
616,Pre-like status,192
616,Sent like,1
616,Match,1
616,Conversation in app,-99
617,Pre-like status,192
617,Sent like,-99
618,Pre-like status,194
618,Sent like,-99
619,Pre-like status,194
619,Sent like,-99
620,Pre-liked me status,194
620,Liked me,1
620,Match,-99
621,Pre-like status,195
621,Sent like,-99
622,Pre-like status,195
622,Sent like,-99
623,Pre-like status,195
623,Sent like,-99
624,Pre-like status,195
624,Sent like,-99
625,Pre-like status,196
625,Sent like,-99
626,Pre-like status,196
626,Sent like,-99
627,Pre-like status,196
627,Sent like,-99
628,Pre-like status,196
628,Sent like,-99
629,Pre-liked me status,196
629,Liked me,-99
630,Pre-like status,197
630,Sent like,1
630,Match,-99
631,Pre-like status,197
631,Sent like,-99
632,Pre-like status,197
632,Sent like,-99
633,Pre-like status,197
633,Sent like,-99
634,Pre-like status,198
634,Sent like,-99
635,Pre-liked me status,198
635,Liked me,-99
636,Pre-like status,198
636,Sent like,-99
637,Pre-like status,198
637,Sent like,-99
638,Pre-liked me status,199
638,Liked me,-99
639,Pre-liked me status,199
639,Liked me,-99
640,Pre-like status,199
640,Sent like,-99
641,Pre-like status,200
641,Sent like,-99
642,Pre-like status,200
642,Sent like,-99
643,Pre-liked me status,200
643,Liked me,-99
644,Pre-liked me status,201
644,Liked me,-99
645,Pre-liked me status,201
645,Liked me,-99
646,Pre-like status,202
646,Sent like,1
646,Match,1
646,Conversation in app,-99
647,Pre-like status,202
647,Sent like,-99
648,Pre-like status,202
648,Sent like,-99
649,Pre-like status,202
649,Sent like,-99
650,Pre-like status,203
650,Sent like,-99
651,Pre-liked me status,205
651,Liked me,-99
652,Pre-liked me status,205
652,Liked me,-99
653,Pre-liked me status,206
653,Liked me,-99
654,Pre-liked me status,206
654,Liked me,-99
655,Pre-liked me status,206
655,Liked me,-99
656,Pre-liked me status,206
656,Liked me,-99
657,Pre-liked me status,207
657,Liked me,-99
658,Pre-like status,207
658,Sent like,1
658,Match,1
658,Conversation in app,2
658,First date,-99
659,Pre-like status,207
659,Sent like,-99
660,Pre-like status,208
660,Sent like,-99
661,Pre-like status,208
661,Sent like,-99
662,Pre-like status,208
662,Sent like,-99
663,Pre-like status,209
663,Sent like,-99
664,Pre-like status,209
664,Sent like,-99
665,Pre-like status,209
665,Sent like,-99
666,Pre-like status,209
666,Sent like,-99
667,Pre-like status,209
667,Sent like,-99
668,Pre-like status,209
668,Sent like,-99
669,Pre-like status,209
669,Sent like,-99
670,Pre-like status,209
670,Sent like,-99
671,Pre-liked me status,210
671,Liked me,-99
672,Pre-like status,210
672,Sent like,-99
673,Pre-like status,210
673,Sent like,-99
674,Pre-like status,210
674,Sent like,2
674,Match,0
674,Conversation in app,-99
675,Pre-liked me status,210
675,Liked me,-99
676,Pre-like status,210
676,Sent like,-99
677,Pre-like status,210
677,Sent like,-99
678,Pre-like status,210
678,Sent like,-99
679,Pre-liked me status,211
679,Liked me,-99
680,Pre-liked me status,211
680,Liked me,-99
681,Pre-liked me status,211
681,Liked me,-99
682,Pre-liked me status,211
682,Liked me,-99
683,Pre-like status,211
683,Sent like,-99
684,Pre-like status,211
684,Sent like,-99
685,Pre-like status,211
685,Sent like,-99
686,Pre-like status,211
686,Sent like,-99
687,Pre-like status,211
687,Sent like,-99
688,Pre-like status,211
688,Sent like,-99
689,Pre-like status,211
689,Sent like,-99
690,Pre-liked me status,211
690,Liked me,1
690,Match,0
690,Conversation in app,-99
691,Pre-like status,211
691,Sent like,-99
692,Pre-like status,211
692,Sent like,-99
693,Pre-like status,211
693,Sent like,-99
694,Pre-like status,211
694,Sent like,-99
695,Pre-like status,211
695,Sent like,-99
696,Pre-like status,212
696,Sent like,1
696,Match,0
696,Conversation in app,-99
697,Pre-like status,212
697,Sent like,-99
698,Pre-like status,212
698,Sent like,1
698,Match,1
698,Conversation in app,-99
699,Pre-like status,212
699,Sent like,-99
700,Pre-like status,213
700,Sent like,-99
701,Pre-like status,213
701,Sent like,-99
702,Pre-like status,214
702,Sent like,1
702,Match,1
702,Conversation in app,-99
703,Pre-liked me status,214
703,Liked me,-99
704,Pre-liked me status,214
704,Liked me,-99
705,Pre-like status,215
705,Sent like,-99
706,Pre-like status,215
706,Sent like,-99
707,Pre-like status,215
707,Sent like,-99
708,Pre-like status,215
708,Sent like,-99
709,Pre-like status,215
709,Sent like,-99
710,Pre-like status,216
710,Sent like,-99
711,Pre-like status,216
711,Sent like,-99
712,Pre-like status,216
712,Sent like,-99
713,Pre-like status,217
713,Sent like,-99
714,Pre-like status,217
714,Sent like,-99
715,Pre-like status,217
715,Sent like,-99
716,Pre-like status,217
716,Sent like,-99
717,Pre-like status,217
717,Sent like,-99
718,Pre-like status,217
718,Sent like,-99
719,Pre-like status,217
719,Sent like,-99
720,Pre-like status,217
720,Sent like,-99
721,Pre-like status,217
721,Sent like,-99
722,Pre-liked me status,217
722,Liked me,-99
723,Pre-liked me status,217
723,Liked me,-99
724,Pre-liked me status,217
724,Liked me,-99
725,Pre-like status,217
725,Sent like,-99
726,Pre-like status,217
726,Sent like,-99
727,Pre-liked me status,217
727,Liked me,-99
728,Pre-liked me status,217
728,Liked me,-99
729,Pre-like status,217
729,Sent like,-99
730,Pre-like status,217
730,Sent like,-99
731,Pre-like status,217
731,Sent like,-99
732,Pre-like status,218
732,Sent like,-99
733,Pre-like status,218
733,Sent like,-99
734,Pre-liked me status,218
734,Liked me,-99
735,Pre-liked me status,218
735,Liked me,1
735,Match,1
735,Conversation in app,-99
736,Pre-like status,219
736,Sent like,-99
737,Pre-like status,219
737,Sent like,-99
738,Pre-like status,220
738,Sent like,-99
739,Pre-like status,220
739,Sent like,-99
740,Pre-like status,220
740,Sent like,-99
741,Pre-like status,220
741,Sent like,-99
742,Pre-like status,220
742,Sent like,-99
743,Pre-like status,220
743,Sent like,1
743,Match,2
743,Conversation in app,-99
744,Pre-like status,220
744,Sent like,-99
745,Pre-like status,220
745,Sent like,-99
746,Pre-like status,220
746,Sent like,-99
747,Pre-like status,220
747,Sent like,-99
748,Pre-like status,220
748,Sent like,-99
749,Pre-like status,220
749,Sent like,-99
750,Pre-like status,220
750,Sent like,-99
751,Pre-like status,221
751,Sent like,-99
752,Pre-like status,221
752,Sent like,-99
753,Pre-like status,221
753,Sent like,-99
754,Pre-like status,221
754,Sent like,1
754,Match,1
754,Conversation in app,0
754,First date,-99
755,Pre-like status,221
755,Sent like,-99
756,Pre-like status,221
756,Sent like,-99
757,Pre-like status,221
757,Sent like,0
757,Match,0
757,Conversation in app,-99
758,Pre-like status,221
758,Sent like,-99
759,Pre-like status,221
759,Sent like,-99
760,Pre-like status,221
760,Sent like,-99
761,Pre-like status,221
761,Sent like,-99
762,Pre-like status,221
762,Sent like,-99
763,Pre-like status,221
763,Sent like,-99
764,Pre-like status,221
764,Sent like,-99
765,Pre-like status,222
765,Sent like,-99
766,Pre-like status,222
766,Sent like,-99
767,Pre-like status,222
767,Sent like,0
767,Match,1
767,Conversation in app,-99
768,Pre-like status,222
768,Sent like,-99
769,Pre-like status,223
769,Sent like,-99
770,Pre-like status,223
770,Sent like,1
770,Match,-99
771,Pre-like status,224
771,Sent like,1
771,Match,-99
772,Pre-like status,224
772,Sent like,-99
773,Pre-like status,224
773,Sent like,-99
774,Pre-like status,224
774,Sent like,-99
775,Pre-like status,224
775,Sent like,-99
776,Pre-like status,224
776,Sent like,-99
777,Pre-like status,224
777,Sent like,1
777,Match,1
777,Conversation in app,2
777,First date,-99
778,Pre-liked me status,224
778,Liked me,-99
779,Pre-liked me status,224
779,Liked me,-99
780,Pre-like status,224
780,Sent like,-99
781,Pre-liked me status,225
781,Liked me,-99
782,Pre-liked me status,225
782,Liked me,-99
783,Pre-like status,225
783,Sent like,-99
784,Pre-like status,225
784,Sent like,-99
785,Pre-like status,225
785,Sent like,-99
786,Pre-like status,225
786,Sent like,-99
787,Pre-like status,225
787,Sent like,-99
788,Pre-like status,225
788,Sent like,-99
789,Pre-like status,225
789,Sent like,-99
790,Pre-like status,225
790,Sent like,-99
791,Pre-like status,225
791,Sent like,-99
792,Pre-like status,226
792,Sent like,1
792,Match,1
792,Conversation in app,-99
793,Pre-like status,226
793,Sent like,-99
794,Pre-like status,226
794,Sent like,-99
795,Pre-like status,226
795,Sent like,-99
796,Pre-like status,226
796,Sent like,1
796,Match,1
796,Conversation in app,-99
797,Pre-liked me status,227
797,Liked me,1
797,Match,-99
798,Pre-like status,228
798,Sent like,1
798,Match,21
798,Conversation in app,-99
799,Pre-like status,228
799,Sent like,-99
800,Pre-like status,228
800,Sent like,-99
801,Pre-like status,228
801,Sent like,-99
802,Pre-liked me status,230
802,Liked me,-99
803,Pre-liked me status,230
803,Liked me,-99
804,Pre-liked me status,230
804,Liked me,-99
805,Pre-like status,230
805,Sent like,-99
806,Pre-like status,231
806,Sent like,-99
807,Pre-liked me status,232
807,Liked me,-99
808,Pre-liked me status,233
808,Liked me,-99
809,Pre-liked me status,233
809,Liked me,-99
810,Pre-liked me status,233
810,Liked me,-99
811,Pre-liked me status,233
811,Liked me,-99
812,Pre-liked me status,234
812,Liked me,-99
813,Pre-like status,234
813,Sent like,-99
814,Pre-like status,234
814,Sent like,-99
815,Pre-like status,234
815,Sent like,-99
816,Pre-like status,234
816,Sent like,1
816,Match,0
816,Conversation in app,-99
817,Pre-liked me status,234
817,Liked me,-99
818,Pre-like status,234
818,Sent like,-99
819,Pre-like status,234
819,Sent like,-99
820,Pre-like status,234
820,Sent like,-99
821,Pre-like status,234
821,Sent like,1
821,Match,1
821,Conversation in app,-99
822,Pre-like status,235
822,Sent like,-99
823,Pre-like status,235
823,Sent like,1
823,Match,-99
824,Pre-like status,235
824,Sent like,-99
825,Pre-like status,235
825,Sent like,-99
826,Pre-like status,235
826,Sent like,1
826,Match,1
826,Conversation in app,-99
827,Pre-like status,235
827,Sent like,-99
828,Pre-like status,235
828,Sent like,-99
829,Pre-like status,235
829,Sent like,1
829,Match,1
829,Conversation in app,-99
830,Pre-like status,235
830,Sent like,-99
831,Pre-like status,235
831,Sent like,-99
832,Pre-like status,235
832,Sent like,1
832,Match,1
832,Conversation in app,-99
833,Pre-like status,235
833,Sent like,-99
834,Pre-like status,235
834,Sent like,-99
835,Pre-like status,235
835,Sent like,-99
836,Pre-like status,236
836,Sent like,-99
837,Pre-like status,236
837,Sent like,-99
838,Pre-like status,236
838,Sent like,1
838,Match,-99
839,Pre-like status,236
839,Sent like,-99
840,Pre-like status,236
840,Sent like,-99
841,Pre-like status,236
841,Sent like,-99
842,Pre-like status,237
842,Sent like,-99
843,Pre-like status,237
843,Sent like,-99
844,Pre-like status,237
844,Sent like,-99
845,Pre-like status,237
845,Sent like,-99
846,Pre-like status,237
846,Sent like,-99
847,Pre-like status,237
847,Sent like,-99
848,Pre-like status,237
848,Sent like,-99
849,Pre-like status,237
849,Sent like,-99
850,Pre-like status,237
850,Sent like,-99
851,Pre-like status,238
851,Sent like,-99
852,Pre-like status,238
852,Sent like,-99
853,Pre-like status,238
853,Sent like,-99
854,Pre-like status,238
854,Sent like,-99
855,Pre-like status,238
855,Sent like,-99
856,Pre-liked me status,238
856,Liked me,-99
857,Pre-like status,239
857,Sent like,-99
858,Pre-like status,239
858,Sent like,-99
859,Pre-like status,239
859,Sent like,-99
860,Pre-like status,239
860,Sent like,-99
861,Pre-like status,239
861,Sent like,-99
862,Pre-liked me status,239
862,Liked me,1
862,Match,1
862,Conversation in app,1
862,First date,-99
863,Pre-like status,239
863,Sent like,-99
864,Pre-like status,239
864,Sent like,-99
865,Pre-like status,239
865,Sent like,-99
866,Pre-like status,239
866,Sent like,-99
867,Pre-like status,239
867,Sent like,-99
868,Pre-like status,239
868,Sent like,-99
869,Pre-like status,239
869,Sent like,-99
870,Pre-like status,239
870,Sent like,-99
871,Pre-like status,240
871,Sent like,-99
872,Pre-like status,240
872,Sent like,1
872,Match,2
872,Conversation in app,-99
873,Pre-like status,240
873,Sent like,-99
874,Pre-like status,240
874,Sent like,1
874,Match,1
874,Conversation in app,-99
875,Pre-like status,241
875,Sent like,-99
876,Pre-like status,241
876,Sent like,-99
877,Pre-like status,241
877,Sent like,-99
878,Pre-like status,242
878,Sent like,-99
879,Pre-like status,242
879,Sent like,-99
880,Pre-like status,243
880,Sent like,1
880,Match,1
880,Conversation in app,-99
881,Pre-like status,243
881,Sent like,-99
882,Pre-like status,243
882,Sent like,-99
883,Pre-liked me status,243
883,Liked me,-99
884,Pre-like status,243
884,Sent like,-99
885,Pre-liked me status,243
885,Liked me,-99
886,Pre-like status,243
886,Sent like,-99
887,Pre-like status,243
887,Sent like,-99
888,Pre-like status,243
888,Sent like,-99
889,Pre-like status,243
889,Sent like,-99
890,Pre-like status,243
890,Sent like,-99
891,Pre-like status,243
891,Sent like,-99
892,Pre-like status,243
892,Sent like,-99
893,Pre-like status,244
893,Sent like,1
893,Match,3
893,Conversation in app,-99
894,Pre-like status,244
894,Sent like,-99
895,Pre-like status,244
895,Sent like,1
895,Match,1
895,Conversation in app,-99
896,Pre-liked me status,244
896,Liked me,-99
897,Pre-liked me status,244
897,Liked me,-99
898,Pre-like status,244
898,Sent like,-99
899,Pre-like status,244
899,Sent like,-99
900,Pre-like status,244
900,Sent like,-99
901,Pre-like status,244
901,Sent like,-99
902,Pre-like status,245
902,Sent like,1
902,Match,-99
903,Pre-like status,245
903,Sent like,-99
904,Pre-like status,245
904,Sent like,-99
905,Pre-like status,245
905,Sent like,-99
906,Pre-like status,245
906,Sent like,-99
907,Pre-like status,245
907,Sent like,1
907,Match,-99
908,Pre-like status,245
908,Sent like,-99
909,Pre-like status,245
909,Sent like,-99
910,Pre-like status,245
910,Sent like,-99
911,Pre-like status,246
911,Sent like,-99
912,Pre-like status,246
912,Sent like,-99
913,Pre-like status,246
913,Sent like,-99
914,Pre-like status,246
914,Sent like,-99
915,Pre-like status,246
915,Sent like,-99
916,Pre-like status,246
916,Sent like,-99
917,Pre-like status,246
917,Sent like,-99
918,Pre-like status,247
918,Sent like,-99
919,Pre-like status,247
919,Sent like,-99
920,Pre-like status,247
920,Sent like,-99
921,Pre-like status,247
921,Sent like,-99
922,Pre-like status,247
922,Sent like,-99
923,Pre-like status,247
923,Sent like,-99
924,Pre-like status,247
924,Sent like,1
924,Match,1
924,Conversation in app,-99
925,Pre-like status,247
925,Sent like,-99
926,Pre-liked me status,247
926,Liked me,1
926,Match,1
926,Conversation in app,2
926,First date,-99
927,Pre-like status,247
927,Sent like,1
927,Match,1
927,Conversation in app,-99
928,Pre-like status,247
928,Sent like,-99
929,Pre-like status,247
929,Sent like,1
929,Match,1
929,Conversation in app,5
929,First date,25
929,Second date,-99
930,Pre-like status,247
930,Sent like,-99
931,Pre-like status,247
931,Sent like,-99
932,Pre-like status,247
932,Sent like,-99
933,Pre-like status,249
933,Sent like,-99
934,Pre-like status,249
934,Sent like,-99
935,Pre-like status,249
935,Sent like,-99
936,Pre-like status,249
936,Sent like,1
936,Match,1
936,Conversation in app,-99
937,Pre-like status,249
937,Sent like,1
937,Match,1
937,Conversation in app,-99
938,Pre-like status,249
938,Sent like,-99
939,Pre-like status,249
939,Sent like,-99
940,Pre-like status,249
940,Sent like,-99
941,Pre-like status,249
941,Sent like,-99
942,Pre-like status,249
942,Sent like,-99
943,Pre-like status,249
943,Sent like,-99
944,Pre-like status,249
944,Sent like,-99
945,Pre-like status,249
945,Sent like,-99
946,Pre-like status,249
946,Sent like,-99
947,Pre-like status,249
947,Sent like,1
947,Match,-99
948,Pre-like status,249
948,Sent like,-99
949,Pre-like status,249
949,Sent like,-99
950,Pre-like status,249
950,Sent like,-99
951,Pre-like status,250
951,Sent like,-99
952,Pre-like status,250
952,Sent like,1
952,Match,1
952,Conversation in app,-99
953,Pre-like status,250
953,Sent like,-99
954,Pre-like status,250
954,Sent like,-99
955,Pre-liked me status,250
955,Liked me,1
955,Match,1
955,Conversation in app,4
955,First date,22
955,Second date,10
955,Dating,7
955,Ended,-99
956,Pre-like status,250
956,Sent like,-99
957,Pre-like status,250
957,Sent like,-99
958,Pre-liked me status,252
958,Liked me,-99
959,Pre-liked me status,252
959,Liked me,-99
960,Pre-like status,252
960,Sent like,-99
961,Pre-liked me status,252
961,Liked me,-99
962,Pre-liked me status,253
962,Liked me,-99
963,Pre-like status,255
963,Sent like,-99
964,Pre-like status,256
964,Sent like,1
964,Match,-99
965,Pre-liked me status,256
965,Liked me,-99
966,Pre-liked me status,258
966,Liked me,-99
967,Pre-like status,258
967,Sent like,-99
968,Pre-like status,258
968,Sent like,1
968,Match,-99
969,Pre-like status,258
969,Sent like,-99
970,Pre-liked me status,259
970,Liked me,-99
971,Pre-liked me status,259
971,Liked me,-99
972,Pre-liked me status,259
972,Liked me,-99
973,Pre-like status,261
973,Sent like,-99
974,Pre-liked me status,261
974,Liked me,-99
975,Pre-like status,263
975,Sent like,-99
976,Pre-like status,263
976,Sent like,-99
977,Pre-like status,263
977,Sent like,-99
978,Pre-like status,263
978,Sent like,-99
979,Pre-liked me status,263
979,Liked me,-99
980,Pre-like status,263
980,Sent like,-99
981,Pre-like status,263
981,Sent like,-99
982,Pre-like status,263
982,Sent like,-99
983,Pre-like status,263
983,Sent like,-99
984,Pre-like status,263
984,Sent like,-99
985,Pre-like status,263
985,Sent like,-99
986,Pre-like status,263
986,Sent like,-99
987,Pre-like status,264
987,Sent like,-99
988,Pre-like status,264
988,Sent like,-99
989,Pre-like status,264
989,Sent like,-99
990,Pre-like status,264
990,Sent like,-99
991,Pre-like status,264
991,Sent like,-99
992,Pre-like status,264
992,Sent like,-99
993,Pre-like status,266
993,Sent like,1
993,Match,1
993,Conversation in app,-99
994,Pre-liked me status,269
994,Liked me,-99
995,Pre-like status,270
995,Sent like,-99
996,Pre-like status,270
996,Sent like,-99
997,Pre-like status,270
997,Sent like,-99
998,Pre-like status,270
998,Sent like,-99
999,Pre-like status,270
999,Sent like,-99
1000,Pre-like status,270
1000,Sent like,-99
1001,Pre-like status,270
1001,Sent like,-99
1002,Pre-like status,270
1002,Sent like,-99
1003,Pre-like status,270
1003,Sent like,-99
1004,Pre-like status,270
1004,Sent like,-99
1005,Pre-liked me status,271
1005,Liked me,-99
1006,Pre-liked me status,275
1006,Liked me,-99
1007,Pre-liked me status,275
1007,Liked me,-99
1008,Pre-liked me status,275
1008,Liked me,-99
1009,Pre-liked me status,275
1009,Liked me,-99
1010,Pre-like status,276
1010,Sent like,1
1010,Match,-99
1011,Pre-like status,276
1011,Sent like,-99
1012,Pre-like status,276
1012,Sent like,-99
1013,Pre-like status,276
1013,Sent like,1
1013,Match,1
1013,Conversation in app,-99
1014,Pre-like status,276
1014,Sent like,-99
1015,Pre-like status,276
1015,Sent like,-99
1016,Pre-like status,276
1016,Sent like,-99
1017,Pre-liked me status,276
1017,Liked me,1
1017,Match,-99
1018,Pre-liked me status,276
1018,Liked me,1
1018,Match,-99
1019,Pre-liked me status,276
1019,Liked me,1
1019,Match,1
1019,Conversation in app,-99
1020,Pre-like status,277
1020,Sent like,-99
1021,Pre-like status,277
1021,Sent like,-99
1022,Pre-like status,277
1022,Sent like,-99
1023,Pre-like status,277
1023,Sent like,-99
1024,Pre-like status,277
1024,Sent like,-99
1025,Pre-like status,277
1025,Sent like,-99
1026,Pre-like status,277
1026,Sent like,-99
1027,Pre-like status,277
1027,Sent like,-99
1028,Pre-like status,277
1028,Sent like,-99
1029,Pre-like status,277
1029,Sent like,-99
1030,Pre-like status,277
1030,Sent like,-99
1031,Pre-like status,277
1031,Sent like,-99
1032,Pre-like status,277
1032,Sent like,1
1032,Match,-99
1033,Pre-like status,277
1033,Sent like,-99
1034,Pre-liked me status,277
1034,Liked me,-99
1035,Pre-liked me status,278
1035,Liked me,1
1035,Match,1
1035,Conversation in app,-99
1036,Pre-like status,278
1036,Sent like,-99
1037,Pre-like status,278
1037,Sent like,1
1037,Match,1
1037,Conversation in app,1
1037,First date,5
1037,Second date,7
1037,Dating,30
1037,Deleted the app,-99
1038,Pre-like status,278
1038,Sent like,-99
1039,Pre-like status,279
1039,Sent like,-99
1040,Pre-like status,279
1040,Sent like,-99
1041,Pre-like status,280
1041,Sent like,-99
1042,Pre-like status,280
1042,Sent like,-99
1043,Pre-like status,280
1043,Sent like,-99
1044,Pre-liked me status,280
1044,Liked me,-99
1045,Pre-like status,282
1045,Sent like,-99
1046,Pre-like status,282
1046,Sent like,-99
1047,Pre-like status,282
1047,Sent like,-99
1048,Pre-like status,282
1048,Sent like,-99
1049,Pre-like status,282
1049,Sent like,1
1049,Match,-99
1050,Pre-liked me status,282
1050,Liked me,-99
1051,Pre-liked me status,282
1051,Liked me,-99
1052,Pre-liked me status,282
1052,Liked me,-99
1053,Pre-like status,282
1053,Sent like,-99
1054,Pre-like status,282
1054,Sent like,-99
1055,Pre-like status,282
1055,Sent like,-99
1056,Pre-like status,282
1056,Sent like,-99
1057,Pre-like status,282
1057,Sent like,-99
1058,Pre-like status,282
1058,Sent like,-99
1059,Pre-like status,282
1059,Sent like,-99
1060,Pre-like status,282
1060,Sent like,-99
1061,Pre-like status,282
1061,Sent like,-99
1062,Pre-like status,283
1062,Sent like,-99
1063,Pre-liked me status,283
1063,Liked me,1
1063,Match,1
1063,Conversation in app,-99
1064,Pre-like status,283
1064,Sent like,-99
1065,Pre-like status,283
1065,Sent like,-99
1066,Pre-liked me status,285
1066,Liked me,-99
1067,Pre-like status,285
1067,Sent like,1
1067,Match,1
1067,Conversation in app,-99
1068,Pre-like status,285
1068,Sent like,1
1068,Match,1
1068,Conversation in app,-99
1069,Pre-liked me status,286
1069,Liked me,-99
1070,Pre-like status,286
1070,Sent like,1
1070,Match,-99
1071,Pre-liked me status,289
1071,Liked me,-99
1072,Pre-liked me status,290
1072,Liked me,1
1072,Match,-99
1073,Pre-like status,290
1073,Sent like,-99
1074,Pre-like status,290
1074,Sent like,-99
1075,Pre-liked me status,290
1075,Liked me,-99
1076,Pre-liked me status,291
1076,Liked me,-99
1077,Pre-liked me status,291
1077,Liked me,-99
1078,Pre-liked me status,292
1078,Liked me,-99
1079,Pre-liked me status,292
1079,Liked me,-99
1080,Pre-liked me status,292
1080,Liked me,-99
1081,Pre-liked me status,292
1081,Liked me,-99
1082,Pre-liked me status,294
1082,Liked me,-99
1083,Pre-liked me status,294
1083,Liked me,-99
1084,Pre-liked me status,294
1084,Liked me,-99
1085,Pre-liked me status,294
1085,Liked me,-99
1086,Pre-liked me status,180
1086,Liked me,1
1086,Match,1
1086,Conversation in app,1
1086,First date,5
1086,Second date,-99
