year,film,role,rt_score,gross
1982,Fast Times at Ridgemont High,Brad's Bud,78,27092880
1983,Rumble Fish,Smokey,74,2500098
1983,Valley Girl,Randy,83,16800000
1984,Birdy,Sergeant Al Columbato,83,1400000
1984,The Cotton Club,Vincent Dwyer,77,25928721
1984,Racing with the Moon,Nicky/Bud,60,5400000
1986,Peggy Sue Got Married,Charlie Bodell,86,41382841
1986,The Boy in Blue,Ned Hanlan,No Score Yet,275000
1987,Moonstruck,Ronny Cammareri,94,80642215
1987,Raising Arizona,H.I. McDonnough,91,22847659
1989,Vampire's Kiss,Peter Loew,61,725131
1990,Wild at Heart,Sailor Ripley,67,14560000
1990,Fire Birds,Jake Preston,10,14760451
1992,Honeymoon in Vegas,Jack Singer,64,35208854
1993,Amos & Andrew,Amos Odell,17,9461630
1994,Trapped in Paradise,Bill Firpo,5,6017509
1994,It Could Happen To You,Charlie Lang,71,37784369
1994,Guarding Tess,Doug Chesnic,57,27023278
1994,Red Rock West,Michael Williams,95,9502551
1995,Leaving Las Vegas,Ben,91,49800000
1995,Kiss of Death,Little Junior,67,14942422
1996,The Rock,Stanley Goodspeed,68,336069511
1997,Face/Off,Castor Troy,92,241200000
1997,Con Air,Cameron Poe,56,224117573
1998,Snake Eyes,Detective Rick Santoro,41,103891409
1998,City of Angels,Seth,59,198750909
1999,Bringing Out The Dead,Frank Pierce,72,16640210
1999,8MM,Tom Welles,23,96398826
2000,The Family Man,Jack Campbell,53,124715863
2000,Gone in Sixty Seconds,Randall Raines,25,232643008
2001,Captain Corelli's Mandolin,Captain Antonio Corelli,28,62097495
2002,Sonny,Acid Yellow,22,17639
2002,Adaptation,Charlie Kaufman,91,32531759
2002,Windtalkers,Sergeant Joe Enders,33,77628265
2003,Matchstick Men,Roy Waller,82,59165300
2004,National Treasure,Benjamin Franklin Gates,46,331323410
2005,The Weather Man,David Spritz,59,15466961
2005,Lord of War,Yuri Orlov,61,60437727
2006,The Wicker Man,Edward Malus,15,37721827
2006,World Trade Center,John McLoughlin,67,163295654
2006,The Ant Bully,Zoc,62,49610898
2007,National Treasure: Book of Secrets,Ben Gates,36,457325804
2007,Next,Cris Johnson,28,73591500
2007,Ghost Rider,Johnny Blaze (Ghost Rider),26,229545589
2008,Bangkok Dangerous,Joe,8,46598133
2009,Bad Lieutenant: Port of Call New Orleans,,86,12413949
2009,Astro Boy,Dr. Tenma,50,41636243
2009,G-Force,Speckles,22,292817841
2009,Knowing,John Koestler,34,186450317
2010,The Sorcerer's Apprentice,Balthazar,40,217986320
2010,Kick-Ass,Damon/Big Daddy,76,97531134
2011,Trespass,Kyle Miller,11,786532
2011,Drive Angry,John Milton,48,41042583
2011,Season of the Witch,Behmen,11,91126600
2012,Stolen,Will Montgomery,20,17967746
2012,Seeking Justice,Will Gerard,28,411746
2012,Ghost Rider: Spirit of Vengeance,Johnny Blaze (Ghost Rider),18,149217355
2013,The Frozen Ground,Sgt. Jack Halcombe,61,5617460
2013,The Croods,Grug,72,573068425
2014,Dying of the Light,Evan Lake,11,746390
2014,Left Behind,Rayford Steele,1,20769209
2014,Tokarev,Paul Maguire,12,660082
2014,Joe,Joe Ransom,86,373375
2015,Pay the Ghost,Mike Cole,10,2242988
2015,The Runner,Colin Pryce,24,20106
2015,Outcast,Gallain,4,3820123
2016,USS Indianapolis: Men of Courage,Captain McVay,17,1663785
2016,Dog Eat Dog,Troy,49,219319
2016,Army Of One,Gary Faulkner,25,355210
2016,Snowden,Hank Forrester,61,35380918
2016,The Trust,Jim Stone,63,60231
2017,Vengeance: A Love Story,,No Score Yet,4526
2017,Inconceivable,Brian Morgan,31,116099
2017,Arsenal,Eddie King,3,41037
2018,Between Worlds,Joe,32,1452837
2018,Spider-Man: Into the Spider-Verse,Spider-Man Noir,97,375654619
2018,Mandy,Red Miller,90,1485002
2018,Teen Titans GO! to the Movies,Superman,91,51620593
2018,211,Mike Chandler,4,937961
2018,The Humanity Bureau,Noah Kross,25,65613
2018,Looking Glass,,21,80612
2018,Mom and Dad,,75,286313
2019,Grand Isle,Walter Franklin,0,5444
2019,Primal,Frank Walsh,37,39564
2019,Running with the Devil,The Cook,24,59731
2019,A Score To Settle,Frankie Carver,15,84878
2020,The Croods: A New Age,Grug,77,214949649
2020,Jiu Jitsu,Wylie,28,7427
2020,Color Out of Space,Nathan Gardner,86,1067647
2021,Prisoners of the Ghostland,Hero,62,54036
2021,Pig,Rob,97,3742661
2021,Willy's Wonderland,The Janitor,61,418286